LAST SEEN   TYPE      REASON              OBJECT                            MESSAGE
47m         Normal    Killing             pod/api-66c8cd86fc-2c85r          Stopping container api
47m         Normal    Started             pod/api-66c8cd86fc-vh7s2          Started container api
47m         Normal    Created             pod/api-66c8cd86fc-vh7s2          Created container api
43m         Normal    Killing             pod/api-66c8cd86fc-hl89b          Stopping container api
43m         Warning   Unhealthy           pod/api-66c8cd86fc-dkb2j          Readiness probe failed: Get "http://10.42.0.60:8000/health": dial tcp 10.42.0.60:8000: connect: connection refused
43m         Warning   Unhealthy           pod/api-66c8cd86fc-slkqj          Readiness probe failed: Get "http://10.42.0.61:8000/health": dial tcp 10.42.0.61:8000: connect: connection refused
43m         Normal    Killing             pod/api-66c8cd86fc-dkb2j          Stopping container api
43m         Normal    Killing             pod/api-66c8cd86fc-vh7s2          Stopping container api
43m         Normal    Killing             pod/api-66c8cd86fc-slkqj          Stopping container api
43m         Warning   Unhealthy           pod/api-66c8cd86fc-hl89b          Readiness probe failed: Get "http://10.42.0.59:8000/health": dial tcp 10.42.0.59:8000: connect: connection refused
43m         Normal    SuccessfulDelete    replicaset/api-66c8cd86fc         Deleted pod: api-66c8cd86fc-vh7s2
42m         Normal    Killing             pod/api-66c8cd86fc-7x926          Stopping container api
42m         Normal    Killing             pod/api-66c8cd86fc-fld96          Stopping container api
42m         Warning   Unhealthy           pod/api-66c8cd86fc-7x926          Readiness probe failed: Get "http://10.42.1.48:8000/health": dial tcp 10.42.1.48:8000: connect: connection refused
42m         Warning   Unhealthy           pod/api-66c8cd86fc-qq75v          Readiness probe failed: Get "http://10.42.2.43:8000/health": dial tcp 10.42.2.43:8000: connect: connection refused
42m         Normal    Killing             pod/api-66c8cd86fc-qq75v          Stopping container api
34m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-58vkw
34m         Normal    Pulled              pod/api-66c8cd86fc-58vkw          Container image "rsl/api:latest" already present on machine
34m         Normal    Pulled              pod/api-66c8cd86fc-7745t          Container image "rsl/api:latest" already present on machine
34m         Normal    Pulled              pod/api-66c8cd86fc-mrrmj          Container image "rsl/api:latest" already present on machine
34m         Normal    Created             pod/api-66c8cd86fc-58vkw          Created container api
34m         Normal    Started             pod/api-66c8cd86fc-58vkw          Started container api
34m         Normal    Started             pod/api-66c8cd86fc-mrrmj          Started container api
34m         Normal    Created             pod/api-66c8cd86fc-7745t          Created container api
34m         Normal    Started             pod/api-66c8cd86fc-7745t          Started container api
34m         Normal    Created             pod/api-66c8cd86fc-mrrmj          Created container api
34m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-nx882
34m         Normal    Started             pod/api-66c8cd86fc-tg2bs          Started container api
34m         Normal    Started             pod/api-66c8cd86fc-nx882          Started container api
34m         Normal    Pulled              pod/api-66c8cd86fc-tg2bs          Container image "rsl/api:latest" already present on machine
34m         Normal    Pulled              pod/api-66c8cd86fc-nsg2t          Container image "rsl/api:latest" already present on machine
34m         Normal    Created             pod/api-66c8cd86fc-rtkrg          Created container api
34m         Normal    Started             pod/api-66c8cd86fc-rtkrg          Started container api
34m         Normal    Created             pod/api-66c8cd86fc-nsg2t          Created container api
34m         Normal    Started             pod/api-66c8cd86fc-nsg2t          Started container api
34m         Normal    Pulled              pod/api-66c8cd86fc-nx882          Container image "rsl/api:latest" already present on machine
34m         Normal    Created             pod/api-66c8cd86fc-nx882          Created container api
34m         Normal    Created             pod/api-66c8cd86fc-tg2bs          Created container api
34m         Normal    Pulled              pod/api-66c8cd86fc-rtkrg          Container image "rsl/api:latest" already present on machine
33m         Normal    Killing             pod/api-66c8cd86fc-58vkw          Stopping container api
33m         Normal    Created             pod/api-66c8cd86fc-rpz97          Created container api
33m         Normal    Pulled              pod/api-66c8cd86fc-rpz97          Container image "rsl/api:latest" already present on machine
33m         Normal    Started             pod/api-66c8cd86fc-rpz97          Started container api
30m         Normal    Started             pod/api-66c8cd86fc-ckk4h          Started container api
30m         Normal    Created             pod/api-66c8cd86fc-ckk4h          Created container api
