LAST SEEN   TYPE      REASON              OBJECT                            MESSAGE
22m         Normal    Scheduled           pod/api-66c8cd86fc-p2lxs          Successfully assigned resilience/api-66c8cd86fc-p2lxs to k3d-resilient-agent-1
17m         Normal    Scheduled           pod/api-66c8cd86fc-v9pst          Successfully assigned resilience/api-66c8cd86fc-v9pst to k3d-resilient-agent-2
2m25s       Normal    Scheduled           pod/api-66c8cd86fc-h9j4j          Successfully assigned resilience/api-66c8cd86fc-h9j4j to k3d-resilient-agent-0
9m32s       Normal    Scheduled           pod/api-66c8cd86fc-k9gcl          Successfully assigned resilience/api-66c8cd86fc-k9gcl to k3d-resilient-agent-0
9m15s       Normal    Scheduled           pod/api-66c8cd86fc-98rzv          Successfully assigned resilience/api-66c8cd86fc-98rzv to k3d-resilient-agent-1
9m15s       Normal    Scheduled           pod/api-66c8cd86fc-4krhb          Successfully assigned resilience/api-66c8cd86fc-4krhb to k3d-resilient-agent-2
9m15s       Normal    Scheduled           pod/api-66c8cd86fc-l9hdr          Successfully assigned resilience/api-66c8cd86fc-l9hdr to k3d-resilient-agent-1
8m31s       Normal    Scheduled           pod/api-66c8cd86fc-w8j8l          Successfully assigned resilience/api-66c8cd86fc-w8j8l to k3d-resilient-agent-2
23m         Normal    Scheduled           pod/api-66c8cd86fc-jdbqn          Successfully assigned resilience/api-66c8cd86fc-jdbqn to k3d-resilient-agent-0
9m32s       Normal    Scheduled           pod/api-66c8cd86fc-64nvv          Successfully assigned resilience/api-66c8cd86fc-64nvv to k3d-resilient-agent-2
9m15s       Normal    Scheduled           pod/api-66c8cd86fc-4mkmh          Successfully assigned resilience/api-66c8cd86fc-4mkmh to k3d-resilient-agent-0
22m         Normal    Scheduled           pod/api-66c8cd86fc-86pxh          Successfully assigned resilience/api-66c8cd86fc-86pxh to k3d-resilient-agent-2
22m         Normal    Scheduled           pod/api-66c8cd86fc-2jjn5          Successfully assigned resilience/api-66c8cd86fc-2jjn5 to k3d-resilient-agent-1
22m         Normal    Scheduled           pod/api-66c8cd86fc-wlwcm          Successfully assigned resilience/api-66c8cd86fc-wlwcm to k3d-resilient-agent-0
22m         Normal    Scheduled           pod/api-66c8cd86fc-rcm5b          Successfully assigned resilience/api-66c8cd86fc-rcm5b to k3d-resilient-agent-0
22m         Normal    Scheduled           pod/api-66c8cd86fc-qsqqm          Successfully assigned resilience/api-66c8cd86fc-qsqqm to k3d-resilient-agent-2
9m32s       Normal    Scheduled           pod/api-66c8cd86fc-ntgn9          Successfully assigned resilience/api-66c8cd86fc-ntgn9 to k3d-resilient-agent-0
22m         Normal    Scheduled           pod/api-66c8cd86fc-rfqpd          Successfully assigned resilience/api-66c8cd86fc-rfqpd to k3d-resilient-agent-1
23m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-jdbqn
23m         Normal    SuccessfulRescale   horizontalpodautoscaler/api-hpa   New size: 4; reason: cpu resource utilization (percentage of request) above target
23m         Normal    Pulled              pod/api-66c8cd86fc-jdbqn          Container image "rsl/api:latest" already present on machine
23m         Normal    ScalingReplicaSet   deployment/api                    Scaled up replica set api-66c8cd86fc to 4 from 3
23m         Normal    Started             pod/api-66c8cd86fc-jdbqn          Started container api
23m         Normal    Created             pod/api-66c8cd86fc-jdbqn          Created container api
22m         Normal    ScalingReplicaSet   deployment/api                    Scaled up replica set api-66c8cd86fc to 8 from 4
22m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-2jjn5
22m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-wlwcm
22m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-rfqpd
22m         Normal    SuccessfulCreate    replicaset/api-66c8cd86fc         Created pod: api-66c8cd86fc-qsqqm
22m         Normal    SuccessfulRescale   horizontalpodautoscaler/api-hpa   New size: 8; reason: cpu resource utilization (percentage of request) above target
22m         Normal    Created             pod/api-66c8cd86fc-wlwcm          Created container api
22m         Normal    Pulled              pod/api-66c8cd86fc-rfqpd          Container image "rsl/api:latest" already present on machine
22m         Normal    Pulled              pod/api-66c8cd86fc-qsqqm          Container image "rsl/api:latest" already present on machine
22m         Normal    Pulled              pod/api-66c8cd86fc-2jjn5          Container image "rsl/api:latest" already present on machine
22m         Normal    Created             pod/api-66c8cd86fc-2jjn5          Created container api
22m         Normal    Started             pod/api-66c8cd86fc-2jjn5          Started container api
22m         Normal    Created             pod/api-66c8cd86fc-qsqqm          Created container api
22m         Normal    Started             pod/api-66c8cd86fc-qsqqm          Started container api
22m         Normal    Started             pod/api-66c8cd86fc-wlwcm          Started container api
22m         Normal    Pulled              pod/api-66c8cd86fc-wlwcm          Container image "rsl/api:latest" already present on machine
22m         Normal    Started             pod/api-66c8cd86fc-rfqpd          Started container api
22m         Normal    Created             pod/api-66c8cd86fc-rfqpd          Created container api
22m         Warning   Unhealthy           pod/api-66c8cd86fc-rz55t          Readiness probe failed: Get "http://10.42.3.26:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
